"","Scenario","Location","Vegetation","Year","Decade","Avg"
"190","SRES B1","Alaska","Graminoid Tundra",2014,"2010",145355
"191","SRES B1","Alaska","Graminoid Tundra",2015,"2010",144806
"192","SRES B1","Alaska","Graminoid Tundra",2016,"2010",144570
"193","SRES B1","Alaska","Graminoid Tundra",2017,"2010",144346
"194","SRES B1","Alaska","Graminoid Tundra",2018,"2010",143914
"195","SRES B1","Alaska","Graminoid Tundra",2019,"2010",143788
"196","SRES B1","Alaska","Graminoid Tundra",2020,"2020",143690
"197","SRES B1","Alaska","Graminoid Tundra",2021,"2020",143485
"198","SRES B1","Alaska","Graminoid Tundra",2022,"2020",143143
"199","SRES B1","Alaska","Graminoid Tundra",2023,"2020",143060
"200","SRES B1","Alaska","Graminoid Tundra",2024,"2020",143115
"201","SRES B1","Alaska","Graminoid Tundra",2025,"2020",142761
"202","SRES B1","Alaska","Graminoid Tundra",2026,"2020",142431
"203","SRES B1","Alaska","Graminoid Tundra",2027,"2020",142196
"204","SRES B1","Alaska","Graminoid Tundra",2028,"2020",141844
"205","SRES B1","Alaska","Graminoid Tundra",2029,"2020",141717
"206","SRES B1","Alaska","Graminoid Tundra",2030,"2030",141544
"207","SRES B1","Alaska","Graminoid Tundra",2031,"2030",141001
"208","SRES B1","Alaska","Graminoid Tundra",2032,"2030",140594
"209","SRES B1","Alaska","Graminoid Tundra",2033,"2030",140063
"210","SRES B1","Alaska","Graminoid Tundra",2034,"2030",139985
"211","SRES B1","Alaska","Graminoid Tundra",2035,"2030",139794
"212","SRES B1","Alaska","Graminoid Tundra",2036,"2030",139693
"213","SRES B1","Alaska","Graminoid Tundra",2037,"2030",139025
"214","SRES B1","Alaska","Graminoid Tundra",2038,"2030",138997
"215","SRES B1","Alaska","Graminoid Tundra",2039,"2030",138795
"216","SRES B1","Alaska","Graminoid Tundra",2040,"2040",138648
"217","SRES B1","Alaska","Graminoid Tundra",2041,"2040",138426
"218","SRES B1","Alaska","Graminoid Tundra",2042,"2040",138029
"219","SRES B1","Alaska","Graminoid Tundra",2043,"2040",137596
"220","SRES B1","Alaska","Graminoid Tundra",2044,"2040",137304
"221","SRES B1","Alaska","Graminoid Tundra",2045,"2040",137042
"222","SRES B1","Alaska","Graminoid Tundra",2046,"2040",136835
"223","SRES B1","Alaska","Graminoid Tundra",2047,"2040",136471
"224","SRES B1","Alaska","Graminoid Tundra",2048,"2040",136204
"225","SRES B1","Alaska","Graminoid Tundra",2049,"2040",135923
"226","SRES B1","Alaska","Graminoid Tundra",2050,"2050",135888
"227","SRES B1","Alaska","Graminoid Tundra",2051,"2050",135663
"228","SRES B1","Alaska","Graminoid Tundra",2052,"2050",135364
"229","SRES B1","Alaska","Graminoid Tundra",2053,"2050",135198
"230","SRES B1","Alaska","Graminoid Tundra",2054,"2050",134997
"231","SRES B1","Alaska","Graminoid Tundra",2055,"2050",134786
"232","SRES B1","Alaska","Graminoid Tundra",2056,"2050",134526
"233","SRES B1","Alaska","Graminoid Tundra",2057,"2050",134314
"234","SRES B1","Alaska","Graminoid Tundra",2058,"2050",133729
"235","SRES B1","Alaska","Graminoid Tundra",2059,"2050",133434
"236","SRES B1","Alaska","Graminoid Tundra",2060,"2060",133204
"237","SRES B1","Alaska","Graminoid Tundra",2061,"2060",133156
"238","SRES B1","Alaska","Graminoid Tundra",2062,"2060",132632
"239","SRES B1","Alaska","Graminoid Tundra",2063,"2060",132445
"240","SRES B1","Alaska","Graminoid Tundra",2064,"2060",132211
"241","SRES B1","Alaska","Graminoid Tundra",2065,"2060",132038
"242","SRES B1","Alaska","Graminoid Tundra",2066,"2060",131761
"243","SRES B1","Alaska","Graminoid Tundra",2067,"2060",131820
"244","SRES B1","Alaska","Graminoid Tundra",2068,"2060",131247
"245","SRES B1","Alaska","Graminoid Tundra",2069,"2060",131260
"246","SRES B1","Alaska","Graminoid Tundra",2070,"2070",131036
"247","SRES B1","Alaska","Graminoid Tundra",2071,"2070",130952
"248","SRES B1","Alaska","Graminoid Tundra",2072,"2070",130802
"249","SRES B1","Alaska","Graminoid Tundra",2073,"2070",130649
"250","SRES B1","Alaska","Graminoid Tundra",2074,"2070",130837
"251","SRES B1","Alaska","Graminoid Tundra",2075,"2070",130907
"252","SRES B1","Alaska","Graminoid Tundra",2076,"2070",130331
"253","SRES B1","Alaska","Graminoid Tundra",2077,"2070",130266
"254","SRES B1","Alaska","Graminoid Tundra",2078,"2070",130364
"255","SRES B1","Alaska","Graminoid Tundra",2079,"2070",130286
"256","SRES B1","Alaska","Graminoid Tundra",2080,"2080",130072
"257","SRES B1","Alaska","Graminoid Tundra",2081,"2080",130027
"258","SRES B1","Alaska","Graminoid Tundra",2082,"2080",129854
"259","SRES B1","Alaska","Graminoid Tundra",2083,"2080",129338
"260","SRES B1","Alaska","Graminoid Tundra",2084,"2080",129395
"261","SRES B1","Alaska","Graminoid Tundra",2085,"2080",129234
"262","SRES B1","Alaska","Graminoid Tundra",2086,"2080",129116
"263","SRES B1","Alaska","Graminoid Tundra",2087,"2080",128892
"264","SRES B1","Alaska","Graminoid Tundra",2088,"2080",128635
"265","SRES B1","Alaska","Graminoid Tundra",2089,"2080",128761
"266","SRES B1","Alaska","Graminoid Tundra",2090,"2090",128550
"267","SRES B1","Alaska","Graminoid Tundra",2091,"2090",128314
"268","SRES B1","Alaska","Graminoid Tundra",2092,"2090",128184
"269","SRES B1","Alaska","Graminoid Tundra",2093,"2090",128320
"270","SRES B1","Alaska","Graminoid Tundra",2094,"2090",128343
"271","SRES B1","Alaska","Graminoid Tundra",2095,"2090",127919
"272","SRES B1","Alaska","Graminoid Tundra",2096,"2090",127716
"273","SRES B1","Alaska","Graminoid Tundra",2097,"2090",127755
"274","SRES B1","Alaska","Graminoid Tundra",2098,"2090",127392
"275","SRES B1","Alaska","Graminoid Tundra",2099,"2090",127033
"276","SRES B1","Alaska","Graminoid Tundra",2100,"2100",126827
"277","SRES B1","Alaska","Shrub Tundra",2009,"2000",261726
"278","SRES B1","Alaska","Shrub Tundra",2010,"2010",261745
"279","SRES B1","Alaska","Shrub Tundra",2011,"2010",261689
"280","SRES B1","Alaska","Shrub Tundra",2012,"2010",261921
"281","SRES B1","Alaska","Shrub Tundra",2013,"2010",262016
"282","SRES B1","Alaska","Shrub Tundra",2014,"2010",262002
"283","SRES B1","Alaska","Shrub Tundra",2015,"2010",262327
"284","SRES B1","Alaska","Shrub Tundra",2016,"2010",262449
"285","SRES B1","Alaska","Shrub Tundra",2017,"2010",262405
"286","SRES B1","Alaska","Shrub Tundra",2018,"2010",262789
"287","SRES B1","Alaska","Shrub Tundra",2019,"2010",262868
"288","SRES B1","Alaska","Shrub Tundra",2020,"2020",262828
"289","SRES B1","Alaska","Shrub Tundra",2021,"2020",262694
"290","SRES B1","Alaska","Shrub Tundra",2022,"2020",262610
"291","SRES B1","Alaska","Shrub Tundra",2023,"2020",262353
"292","SRES B1","Alaska","Shrub Tundra",2024,"2020",262014
"293","SRES B1","Alaska","Shrub Tundra",2025,"2020",261727
"294","SRES B1","Alaska","Shrub Tundra",2026,"2020",261645
"295","SRES B1","Alaska","Shrub Tundra",2027,"2020",261512
"296","SRES B1","Alaska","Shrub Tundra",2028,"2020",261186
"297","SRES B1","Alaska","Shrub Tundra",2029,"2020",260852
"298","SRES B1","Alaska","Shrub Tundra",2030,"2030",260503
"299","SRES B1","Alaska","Shrub Tundra",2031,"2030",260684
"300","SRES B1","Alaska","Shrub Tundra",2032,"2030",260582
"301","SRES B1","Alaska","Shrub Tundra",2033,"2030",260914
"302","SRES B1","Alaska","Shrub Tundra",2034,"2030",260708
"303","SRES B1","Alaska","Shrub Tundra",2035,"2030",260666
"304","SRES B1","Alaska","Shrub Tundra",2036,"2030",260610
"305","SRES B1","Alaska","Shrub Tundra",2037,"2030",260859
"306","SRES B1","Alaska","Shrub Tundra",2038,"2030",260860
"307","SRES B1","Alaska","Shrub Tundra",2039,"2030",260696
"308","SRES B1","Alaska","Shrub Tundra",2040,"2040",260517
"309","SRES B1","Alaska","Shrub Tundra",2041,"2040",260418
"310","SRES B1","Alaska","Shrub Tundra",2042,"2040",260621
"311","SRES B1","Alaska","Shrub Tundra",2043,"2040",260708
"312","SRES B1","Alaska","Shrub Tundra",2044,"2040",260659
"313","SRES B1","Alaska","Shrub Tundra",2045,"2040",260440
"314","SRES B1","Alaska","Shrub Tundra",2046,"2040",260288
"315","SRES B1","Alaska","Shrub Tundra",2047,"2040",259901
"316","SRES B1","Alaska","Shrub Tundra",2048,"2040",259676
"317","SRES B1","Alaska","Shrub Tundra",2049,"2040",259599
"318","SRES B1","Alaska","Shrub Tundra",2050,"2050",259534
"319","SRES B1","Alaska","Shrub Tundra",2051,"2050",259304
"320","SRES B1","Alaska","Shrub Tundra",2052,"2050",259149
"321","SRES B1","Alaska","Shrub Tundra",2053,"2050",258774
"322","SRES B1","Alaska","Shrub Tundra",2054,"2050",258453
"323","SRES B1","Alaska","Shrub Tundra",2055,"2050",258181
"324","SRES B1","Alaska","Shrub Tundra",2056,"2050",257991
"325","SRES B1","Alaska","Shrub Tundra",2057,"2050",257726
"326","SRES B1","Alaska","Shrub Tundra",2058,"2050",257713
"327","SRES B1","Alaska","Shrub Tundra",2059,"2050",257829
"328","SRES B1","Alaska","Shrub Tundra",2060,"2060",257463
"329","SRES B1","Alaska","Shrub Tundra",2061,"2060",257286
"330","SRES B1","Alaska","Shrub Tundra",2062,"2060",257408
"331","SRES B1","Alaska","Shrub Tundra",2063,"2060",256987
"332","SRES B1","Alaska","Shrub Tundra",2064,"2060",256532
"333","SRES B1","Alaska","Shrub Tundra",2065,"2060",255997
"334","SRES B1","Alaska","Shrub Tundra",2066,"2060",255986
"335","SRES B1","Alaska","Shrub Tundra",2067,"2060",255364
"336","SRES B1","Alaska","Shrub Tundra",2068,"2060",255336
"337","SRES B1","Alaska","Shrub Tundra",2069,"2060",254927
"338","SRES B1","Alaska","Shrub Tundra",2070,"2070",254539
"339","SRES B1","Alaska","Shrub Tundra",2071,"2070",254339
"340","SRES B1","Alaska","Shrub Tundra",2072,"2070",253941
"341","SRES B1","Alaska","Shrub Tundra",2073,"2070",253554
"342","SRES B1","Alaska","Shrub Tundra",2074,"2070",252856
"343","SRES B1","Alaska","Shrub Tundra",2075,"2070",252721
"344","SRES B1","Alaska","Shrub Tundra",2076,"2070",252967
"345","SRES B1","Alaska","Shrub Tundra",2077,"2070",252547
"346","SRES B1","Alaska","Shrub Tundra",2078,"2070",252410
"347","SRES B1","Alaska","Shrub Tundra",2079,"2070",252257
"348","SRES B1","Alaska","Shrub Tundra",2080,"2080",252220
"349","SRES B1","Alaska","Shrub Tundra",2081,"2080",251851
"350","SRES B1","Alaska","Shrub Tundra",2082,"2080",251637
"351","SRES B1","Alaska","Shrub Tundra",2083,"2080",251807
"352","SRES B1","Alaska","Shrub Tundra",2084,"2080",251506
"353","SRES B1","Alaska","Shrub Tundra",2085,"2080",251356
"354","SRES B1","Alaska","Shrub Tundra",2086,"2080",250922
"355","SRES B1","Alaska","Shrub Tundra",2087,"2080",250671
"356","SRES B1","Alaska","Shrub Tundra",2088,"2080",250664
"357","SRES B1","Alaska","Shrub Tundra",2089,"2080",250136
"358","SRES B1","Alaska","Shrub Tundra",2090,"2090",249879
"359","SRES B1","Alaska","Shrub Tundra",2091,"2090",249533
"360","SRES B1","Alaska","Shrub Tundra",2092,"2090",249272
"361","SRES B1","Alaska","Shrub Tundra",2093,"2090",248957
"362","SRES B1","Alaska","Shrub Tundra",2094,"2090",248482
"363","SRES B1","Alaska","Shrub Tundra",2095,"2090",248339
"364","SRES B1","Alaska","Shrub Tundra",2096,"2090",248077
"365","SRES B1","Alaska","Shrub Tundra",2097,"2090",247691
"366","SRES B1","Alaska","Shrub Tundra",2098,"2090",247796
"367","SRES B1","Alaska","Shrub Tundra",2099,"2090",247807
"368","SRES B1","Alaska","Shrub Tundra",2100,"2100",247584
"369","SRES B1","Alaska","White Spruce",2009,"2000",195064
"370","SRES B1","Alaska","White Spruce",2010,"2010",196186
"371","SRES B1","Alaska","White Spruce",2011,"2010",196634
"372","SRES B1","Alaska","White Spruce",2012,"2010",197720
"373","SRES B1","Alaska","White Spruce",2013,"2010",198799
"374","SRES B1","Alaska","White Spruce",2014,"2010",199983
"375","SRES B1","Alaska","White Spruce",2015,"2010",200983
"376","SRES B1","Alaska","White Spruce",2016,"2010",199497
"377","SRES B1","Alaska","White Spruce",2017,"2010",199368
"378","SRES B1","Alaska","White Spruce",2018,"2010",200056
"379","SRES B1","Alaska","White Spruce",2019,"2010",200331
"380","SRES B1","Alaska","White Spruce",2020,"2020",200555
"381","SRES B1","Alaska","White Spruce",2021,"2020",201741
"382","SRES B1","Alaska","White Spruce",2022,"2020",202873
"383","SRES B1","Alaska","White Spruce",2023,"2020",203313
"384","SRES B1","Alaska","White Spruce",2024,"2020",201768
"385","SRES B1","Alaska","White Spruce",2025,"2020",202624
"386","SRES B1","Alaska","White Spruce",2026,"2020",202750
"387","SRES B1","Alaska","White Spruce",2027,"2020",203435
"388","SRES B1","Alaska","White Spruce",2028,"2020",205278
"389","SRES B1","Alaska","White Spruce",2029,"2020",205645
"390","SRES B1","Alaska","White Spruce",2030,"2030",206962
"391","SRES B1","Alaska","White Spruce",2031,"2030",208613
"392","SRES B1","Alaska","White Spruce",2032,"2030",209460
"393","SRES B1","Alaska","White Spruce",2033,"2030",206132
"394","SRES B1","Alaska","White Spruce",2034,"2030",205277
"395","SRES B1","Alaska","White Spruce",2035,"2030",206262
"396","SRES B1","Alaska","White Spruce",2036,"2030",206656
"397","SRES B1","Alaska","White Spruce",2037,"2030",207723
"398","SRES B1","Alaska","White Spruce",2038,"2030",207993
"399","SRES B1","Alaska","White Spruce",2039,"2030",207803
"400","SRES B1","Alaska","White Spruce",2040,"2040",208335
"401","SRES B1","Alaska","White Spruce",2041,"2040",209731
"402","SRES B1","Alaska","White Spruce",2042,"2040",210577
"403","SRES B1","Alaska","White Spruce",2043,"2040",211256
"404","SRES B1","Alaska","White Spruce",2044,"2040",212777
"405","SRES B1","Alaska","White Spruce",2045,"2040",213122
"406","SRES B1","Alaska","White Spruce",2046,"2040",214149
"407","SRES B1","Alaska","White Spruce",2047,"2040",215617
"408","SRES B1","Alaska","White Spruce",2048,"2040",216132
"409","SRES B1","Alaska","White Spruce",2049,"2040",215185
"410","SRES B1","Alaska","White Spruce",2050,"2050",216098
"411","SRES B1","Alaska","White Spruce",2051,"2050",216648
"412","SRES B1","Alaska","White Spruce",2052,"2050",217748
"413","SRES B1","Alaska","White Spruce",2053,"2050",216926
"414","SRES B1","Alaska","White Spruce",2054,"2050",217641
"415","SRES B1","Alaska","White Spruce",2055,"2050",219158
"416","SRES B1","Alaska","White Spruce",2056,"2050",218345
"417","SRES B1","Alaska","White Spruce",2057,"2050",219062
"418","SRES B1","Alaska","White Spruce",2058,"2050",219846
"419","SRES B1","Alaska","White Spruce",2059,"2050",219315
"420","SRES B1","Alaska","White Spruce",2060,"2060",220577
"421","SRES B1","Alaska","White Spruce",2061,"2060",220949
"422","SRES B1","Alaska","White Spruce",2062,"2060",222342
"423","SRES B1","Alaska","White Spruce",2063,"2060",221536
"424","SRES B1","Alaska","White Spruce",2064,"2060",222936
"425","SRES B1","Alaska","White Spruce",2065,"2060",223872
"426","SRES B1","Alaska","White Spruce",2066,"2060",224896
"427","SRES B1","Alaska","White Spruce",2067,"2060",222618
"428","SRES B1","Alaska","White Spruce",2068,"2060",221961
"429","SRES B1","Alaska","White Spruce",2069,"2060",221528
"430","SRES B1","Alaska","White Spruce",2070,"2070",222950
"431","SRES B1","Alaska","White Spruce",2071,"2070",222355
"432","SRES B1","Alaska","White Spruce",2072,"2070",222262
"433","SRES B1","Alaska","White Spruce",2073,"2070",222416
"434","SRES B1","Alaska","White Spruce",2074,"2070",217838
"435","SRES B1","Alaska","White Spruce",2075,"2070",217446
"436","SRES B1","Alaska","White Spruce",2076,"2070",216358
"437","SRES B1","Alaska","White Spruce",2077,"2070",213771
"438","SRES B1","Alaska","White Spruce",2078,"2070",212443
"439","SRES B1","Alaska","White Spruce",2079,"2070",213897
"440","SRES B1","Alaska","White Spruce",2080,"2080",214762
